1 => cctv1 | CCTV1
41 => 41 | 东南卫视
41 => 41 | 厦门卫视
410273 => 410273 | ViuTVsix
410274 => 410274 | ViuTV
410275 => 410275 | Viu 頻道
410276 => 410276 | Now華劇台
410278 => 410278 | NowJelli
410279 => 410279 | HBO Hits
410280 => 410280 | HBO Family
410281 => 410281 | CINEMAX
410282 => 410282 | HBO Signature
410283 => 410283 | HBO
410284 => 410284 | MOVIE MOVIE
410285 => 410285 | Now 爆谷台
410286 => 410286 | Now爆谷星影台
410287 => 410287 | Animax
410288 => 410288 | tvN
410289 => 410289 | KBS World
410291 => 410291 | MOOV 演唱會/MV台
410292 => 410292 | 熊貓 TV
410293 => 410293 | Discovery Asia
410294 => 410294 | Discovery Channel
410295 => 410295 | 動物星球頻道
410296 => 410296 | Discovery 科學頻道
410297 => 410297 | DMAX
410298 => 410298 | TLC旅遊生活頻道
410299 => 410299 | Love Nature
410300 => 410300 | Love Nature 4K
410301 => 410301 | BBC Earth
410302 => 410302 | 戶外頻道
410303 => 410303 | 罪案 + 偵緝
410304 => 410304 | HISTORY
410305 => 410305 | CNN 國際新聞網絡
410306 => 410306 | CNBC
410307 => 410307 | BBC News
410308 => 410308 | Bloomberg Television
410309 => 410309 | 亞洲新聞台
410310 => 410310 | Sky News
410311 => 410311 | DW (English)
410312 => 410312 | 半島電視台英語頻道
410314 => 410314 | France 24
410315 => 410315 | NHK WORLD-JAPAN
410316 => 410316 | RT
410342 => 410342 | 中國環球電視網
410343 => 410343 | Now直播台
410344 => 410344 | Now新聞台
410345 => 410345 | Now財經台
410346 => 410346 | Now報價台
410355 => 410355 | 鳳凰衛視資訊台
410359 => 410359 | Cartoon Network
410360 => 410360 | Nickelodeon
410361 => 410361 | CBeebies
410362 => 410362 | Moonbug
410363 => 410363 | Nick Jr.
410364 => 410364 | Da Vinci
410365 => 410365 | BBC Lifestyle
410366 => 410366 | AXN
410367 => 410367 | ROCK Entertainment
410368 => 410368 | Lifetime
410369 => 410369 | Food Network
410370 => 410370 | 亞洲美食台
410371 => 410371 | Netflix
410372 => 410372 | 中天亞洲台
